Date/Time,ActivePower,WindSpeed,Power,WindDirection,Time,TimeDiff,Gust
24 01 2018 21:00,0,10.3435297,2987.852794,35.274189,0,-50,0.849169731
24 01 2018 21:10,0,10.55832958,3093.14719,39.11278152,10,10,0.214799881
24 01 2018 21:20,0,9.005681038,2147.653892,38.12659836,20,10,-1.552648544
24 01 2018 21:30,0,10.35217953,2992.337787,36.5946312,30,10,1.346498489
24 01 2018 21:40,0,9.609884262,2524.679863,36.41928101,40,10,-0.742295265
24 01 2018 21:50,0,10.09420967,2849.301436,38.55401993,50,10,0.484325409
24 01 2018 22:00,0,10.09321976,2848.714592,42.2422905,0,-50,-0.000989914
24 01 2018 22:10,0,9.959686279,2766.780236,37.53662109,10,10,-0.133533478
24 01 2018 22:20,0,9.493571281,2465.767465,31.64856911,20,10,-0.466114998
24 01 2018 22:30,0,9.378009796,2389.961237,30.87605095,30,10,-0.115561485
24 01 2018 22:40,0,10.30210972,2966.083671,34.62417984,40,10,0.924099922
24 01 2018 22:50,0,10.17282963,2894.964634,39.2027092,50,10,-0.12928009
24 01 2018 23:00,0,10.04063034,2817.107152,31.10148048,0,-50,-0.132199287
24 01 2018 23:10,0,10.32643986,2978.929697,34.28808975,10,10,0.285809517
24 01 2018 23:20,0,8.630509377,1909.063097,39.46614075,20,10,-1.695930481
24 01 2018 23:30,0,10.09152985,2847.712083,36.88199997,30,10,1.46102047
24 01 2018 23:40,0,10.18118954,2899.711423,33.53215027,40,10,0.089659691
24 01 2018 23:50,0,10.0798502,2840.759544,32.16889954,50,10,-0.10133934
25 01 2018 00:00,0,11.63551044,3453.52732,36.89847183,0,-50,1.555660248
25 01 2018 00:10,0,10.4547596,3043.942262,37.71063995,10,10,-1.180750847
25 01 2018 00:20,0,10.54109955,3085.159274,32.94625854,20,10,0.086339951
25 01 2018 00:30,0,10.7919302,3193.923417,37.04973984,30,10,0.25083065
25 01 2018 00:40,0,10.31161022,2971.119823,39.1445694,40,10,-0.480319977
